sentiment,content
2,@lennytoups not for long goin for some sprints now
2,@ChristinaFaith this is the worst
1,"Woah!! Awesome show!! Glad to be back at the hotel, though.. Nightie night and Happy Mother's Day to all you mommy's!!"
0,@carbaby and @travisgarland great seein you guys today!!! you look so happy  love it!! lets hang out soon!! love yall!
1,@sumtxkid loved our lil tent-side jam session/mosh pit!!! EDGEFESSSSSST!!!
0,@jesamine Here's a more appropriate @ tweet... is everything ok  Your last 3 days of tweets don't paint a good picture :-C
0,Getting AxKit running on Ubuntu 8.04 is making my head explode.
1,@Iam04 tea...  Mmmm crispy but no cake  Have headphones!
2,Sweet! When are they going to be publicly available?
1,@Lady_Luck13 they are SO cute
0,"four shots of novacaine in my mouth  my right cheek is totally numb, booo."
1,@Roberto958  awwww  thanks for follwin me thou. lol
1,@cosmicgirlie good luck!! How exciting
1,@ddlovato Your second episode of Sonny WAC was on in New Zealand tonight. You were (and still are) AMAZING! ily  xx
1,@GabeHumble tysm but i just made +uploaded one so its okay! but lol im looking thru your pics now  il the just wanna fuck shit up one lmao
0,@iancpalmer they don't use MSN either I don't think  and they are thousands of miles away so can't do it face to face
0,.@petraeujane Too bad they never made it over here during the last ten years
2,awwww look at this motherfucking POTUS  #nerdprom
0,"My mom has annoyed the living crap outta me, so now we're on AOL Radio, looking for Brooks &amp; Dunn."
1,I've got great expectations of tomorrow  It's gonna be awesome!! ? http://blip.fm/~5jf53
1,I have the Job  this is a nice day it can not be better
0,@MissKellyO  wish I could eat with you all !!!
2,drove to work with my Vespa through the pouring rain. The rain overall was keeping me dry
0,Getting ready to go to #Brighton to find myself a new suit from #GreshamBlake - Sunday = me time
1,"@raihanamcfly LOL! salivary gland?? frm those little flies?? no way!  alison=drama queen  oh no, ur brain hurts? a new brain is growing!"
1,N now the end to another wise great nite! Excuse me while I dream a little dream
0,"The one day I do my hair, weather sucks  where is the sun?"
0,@CNReilly I missed Match Game tonight    I hope I make it tomorrow night.
0,"@Russzart Ohh noo. Joshua im sooo sorry i was out ,im really sorry i didnt get to see you :''( please forgive me  I'm sorry &lt;3"
1,@Sixxjohn i think i been followin u 4 bout a week so yea kinda
1,Download movie  &quot;Jackass 3&quot; http://tinyurl.com/caotku cool #movie
0,Omg i'm so sad. I jus took in that gossip girl is done
0,14 more days with slow internet
1,"@MCsavedmylife thank you, your dedication as a lamb is unparalleled also, all true lambs dedication is unparalleled"
2,Toasting what seems to be 100 waffles for the 4 farmer kids. They sure eat a lot.
0,@LaurenConrad when I tried to go to her's I got this message &quot;That page doesn't exist! &quot;
2,shower before doctor's appointment
0,"Alexxx Im gona miss you today. Im so sad, noooooooo"
1,@Touch_Reviews THANKS!
2,Is fighting a horrid headache with a large Vanilla Iced Coffee.
0,i dont like funerals
0,It's gonna be a super long day
2,two o'clock please come faster
0,"Just got woken up by my mom... Our ENTIRE first floor is flooded. All our furniture, curtains, moms expensive rugs.... Soaked and ruined"
0,"@Maliceve yeah mine is stubborn too.  you just gotta keep trying until it does, no way around it"
1,back from the city... breakfast time
1,"Took yesterday off &amp; treated myself to an outfit &amp; shoes, I have not treated myself in a while, my mothers day gift to me"
1,Happy Mothers Day
2,Morning and hope everyone has a great bank holiday
2,@liljizzel dope background
0,"@JeremyBorash wow, honestly not surprising, every time they try to push that guy he gets injured"
0,@devon_leigh u know wut devy dev it sure does suck havin no ID!! My weekends r gone miserable for 3 weeks so drink 4 me plz!!
1,@jmascia yay i found u!! i had a great time tonight!
0,@theboycharlie ooooo sooooo wanna swap my day is well boring revising for looming uni exams
2,@tommcfly do you remember my spok-5?
0,@labelladiva Are you blogging yet? I miss you writing
0,Today more sore than surgery day. Glad I took extra sick day.  Full recovery expected after 6 weeks.  Calling lawn service firms today
1,"@tommcfly I really hope you see my tweets. Sent you so much, I swear. Do a tour in the Philippines, please?  *prays*"
2,Eating ice cream at swensens
1,what a beautiful morning ; it's time to get up and enjoy the sun
2,"i actually really liked Merlin last night. some parts were a bit eh, but the part where that chick was singing was like whoa."
0,I still sound like a man!
2,"@me_chiel Nah, it was only a CX-520-D"
1,Happy Mother's Day!
0,"@EeepersChoice I'd rather she not, if she's going to destroy them."
0,My hair dresser passed away yesterday from breast cancer  She was the greatest hair dresser I'd ever been to!
1,"@jennyrae Wow, I really hope it gets better. Asthma sucks"
1,Somehow my alarm became an hour fast and I came to realize it as I was leaving the house.. It feels good having an early start
1,still awake..doing my assignments and playing virtual farming
1,"@idibs oh, a really good 1 dude, thx... added"
0,doesn't know what to do this evening &amp; is D R E A D I N G work tomorrow  it sucks.
0,@tobefreeisme I would be scratching ma head toooo
0,Waiting for the bus back from cripple creek to pick up the twizzler town seems kinda quiet tonite    *rolynn719*
1,@aidadoll he thinks he's a gangsterrr  his ass don't even fit in G Unit. &amp; I know :| )))))
0,Great day. And another one awaits
1,@gleannignacio hehe true. i wonder what he will come up with
0,@saytri lol exams i didn't go to mcast or other school i finished form 5 and that's it soo disappointed in myself
2,@Jayme1988 not really sure. need to deposit and save some money
0,I miss my cousin so much
1,watching HGTV at 236am lol wtf must love me some home decor
2,just finished eating
0,"@selenagomez Hi S, plz follow me"
1,"@joelmchale Please give a shout out to my boyfriend Ron Griffin at 10pm show in Denver. He's in the nosebleeds, so really SHOUT out"
0,@ProctorsArm at least posada had a good ab
1,I wov you
0,"@lifeasiceyit Yessum.  We'll see how this year goes... maybe I can head back in Oct, when the rates go down. I wanted to go for my bday"
1,"It's a good day! The lake is a mirror, the kids are happy, and I get to clean the cabin today... Err two outta three ain't bad!"
2,"@craigralph If you've jailbroken or went to 3.0 early, prepare to be bricked"
1,@Twyst The devil you say!  I've been waiting for the Black Widow in movies and now she won't be awesome at all.
2,OMGosh I just saw Hattie wake up! Must be summer when your garden hedgehog comes out of hibernation
1,"@RobTSmith Good morning to you as well Rob, have a great day"
1,@pixy88 Thank you! And I don't care for the look on his face.
1,"@AuthorSaoirse_R Drive-in!? srsly!? *jealous*  I have never ever been to one.  there is one down the rd, but it's no longer operational :|"
0,"@rolandsmartin Awe Man, I hope someone turns it in"
2,Raining again
1,"@ryan_leslie I love the video!! You are inspiration Mr. Leslie, can't wait for the new album still rocking the debut."
2,@annakayh your not in school
2,Ppl dont miss out on me on this Follow Superstar Sunday
0,@jcsalterego no turkey leg? i can't believe it!
1,@bobbyedner i missed the game
0,Where's my Happiness?
0,tried to swat a fly with my Buddhist magazine... bad karma
0,I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.
1,yeah fffff.at lab coming up with super duper iphone real scratching app  http://fffff.at/spinning-vinyl-ipod-app
1,Ok so 4 needs to hurry up and come wtf I wanna go hooooommmeeee!
2,is new to twitter.... needs some studying here
2,Another great song to sing along with....    ? http://blip.fm/~5jhtq
1,@camerontdf Happy Birthday  Hope you enjoyed us singing to you Wednesday &lt;3
0,@mraeannon thank u!! I know I'll miss u too  Ill take pics as soon as I get there I need your email txt it to me or something
0,I FEEL LIKE CRAP......
1,"@Kenzielee_ Mother's Day in the U.S today. I won't tell mine, she'll expect another present"
2,@ByronKatie In our vedanta class we have a saying &quot;Chit Happens&quot; (chit being mind vibrations or thoughts)
1,"@hypnoticzexy Ooooh, so you're the dream husband. lol =D I saw Stranthorpe on a map today and thought thought of dear Shea! lol"
1,Happy Star Wars day everyone! and Enjoy the holiday (UK)
2,Western Digital Caviar Black 1TB SATA 300 NCQ 32MB on the way...
1,"@TheFuzzyBlueOne me? A doctor? *laughs* oh, no, no, no. I was @dr_crane's patient at Arkham Aslyum, but now I work for him"
0,@J2thaESSICA yeah dnt go there.. I have 3 dif apps on my phone for it  so sad but there is a reason as to why lol
1,@DavidArchie I'm watching some of your videos in YouTube. You're funny David.  Oh and TALENTED of course!
1,my first 'star trek' anything was really entertaining.. now if I can just see Harold fly the enterprise to 'white castle'
1,"@tommcfly i saw you on tues and last niiiighht &lt;3 so amazzzing, didnt even notice you forgetting the wordddss"
0,ps it's rainging
1,@MelodyLeaLamb Goooood Morning Melody! Wishing you a Wonderful Mother's Day with your family!
0,@modulista You're in Miami right? I don't see a hand delivery in your near future unfortunately
2,@jamesh_1993 Nope not yet  Within 10 working days from Thursday. It should be in before 2 weeks Wednesday. It'll be in before that! I hope
1,"loves surprises, but is never surprised"
2,@pcsketch I'm considering buying one of these. Hence the 'Monk&quot; look   http://bit.ly/9VbzG
2,has just arrived in Singapore.
1,Curled up in bed now... going to wind down with some #G1 solitaire .   goodnight twitterland!
1,"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now"
2,Just got stung by nettles lol in about 3 fingers  and I mean come on that dude with the apples needed to step it up a notch!
1,@Iamme828 No becuz we're being honest! Lets look at the big picture..my happy ending with the smile on my face
1,@DJstweet I know... It was just a joke... all in good fun...  some people get my humor &amp; some don't...
1,@Impala_Guy Just like me )))) No i must confess one dark side of me is that i can be sometimes stubborn + iï¿½m a little morning grouch
2,Sunday sunshine track  ? http://blip.fm/~5z7cg
0,Trully a awful day! Shitty!
1,@owenong looks good ... making me hungry but boy stll asleep
0,I'm SAD SAD SAD!!! thought my aunty Stina coming but no more  i was so looking forward to having family..i miss dat! i'm alone on maui
2,@kyoisorange lol were always friends  i havent got hers yet .. and im busy next weekend  dunno when im getting yours and hers
1,@ashleytisdale http://twitpic.com/4t4jv - No joke my puppy Maddie looks EXACTLY like  Maui!!!  she's so cute!!
0,@tamij Where'd that ? come from? No pup for now. But certainly in the near future. Maybe a beagle. It depends. I do muss my fatboy.
0,Hanging out at the San Fran airport. Got a few hour wait until I go anywhere...BTW SFO's $7 wifi is garbage.
1,@danieldececco Out of your car?! Oh no!
1,Ahh feels good to have played guitar hero after months! I suck at it now but  haha
1,"D-group Saturday's, with a little bit of football, an hour nap, 3 hours of soccer, basketball in the TSU and Yogurtland... Life's Good"
0,not sure where the real state market is moving  confused either hold or go ahead with the plans?
1,"@SonjaNorwood ,,, hey mom,,"
1,"@jordansgirl81 they can be a drag,,but for the most part they come in HANDY  hee hee"
2,Cleaning the house
2,Addicted to Glee... watching the video over and over again....I should be out
1,@julienviet Propellerheads has been on my harddrive for a long while. Just got my music repo back in shape this WE and felt nostalgic
1,What a fun night
0,first day of summer sucks!!!! its overcast and cold...  this isn't summer!?!?!?!?
2,@Scath drop me an e-mail or something and i'll totally do it
0,"Fyi- putting makeup on under flourescents = FAIL. ... oh face-peely, why must you look so hideous? Also, wheres my lipstick?"
2,Exam is commmmmiinnnnnggggggg !
0,"@IYL86 Well yeah, the hormone things basically a given  thought he had misbehaved specifically to upset your mom and you."
1,Bed def beat out gym this morning  .....still snuggling w Spike.
0,@thedailysurvey Why do we love those that we cannot have?
1,@sweetdee15 Your peanut butter soup was amazing and so was everything else!  Your soup was just a higher form of amazing
0,you can learn a lot from another person.. dont try to out better oneself when its all about love and happiness  goodnight
1,"@Jason25329 yeah well a deadline is in T-9 hours, that's architecture for you, oh well... mmm that coffee sounds like a good idea"
0,"I'm a sad panda, hulu doesn't have the elephant show   no Skinnamarinkydinkydink sing alongs for me."
2,(@MauiPixie) Gonna watch JT on SNL tonight - not a fan of his music but think he's hilarious! 'Jizz in my Pants' - WAY too funny
0,Ready to chill on the couch and watch a movie
1,playing sudoku while mommy makes me breakfast &amp; lunch
1,there's not many things better than sleeping with my windows open
1,"@shawnieora I googled him &amp; looked @ a lot of sites... I should have checked here first.  How Exciting, for you both"
1,@Karen230683 morning  hope u r well.. i'm off to bed soon!
2,@Freakonomy hahaha thaanks!  iï¿½m from brazil!
0,"Just got a follow from @lindsey5054. Yep, it's spam. Damn twitter traffic machine."
2,@petrilude &quot;Shaking My Fucking Head&quot; or &quot;So Much Fucking Homework&quot; according to Urban dictionary
2,?ï¿½ nh?n ???c bonus r?i. Ch?c ch? ?? bï¿½ vï¿½o kho?n unpaid leave
2,"@ashumittal @twilightfairy #wci hashtag simply isn't dying out anytime soon, is it."
2,Back to work I go....
1,YAY! My temperature went down!  I can have dinner with the family tonight.
0,it's the weekend but 9 year old is grounded which makes me grounded too
0,@SUPERRZAAAP i forgot the yardsale event! ooh how pity i am
2,@ceidiog I'm not in America! I'm not going anymore  You phoned earlier?
2,@Puddynface2 I just heard from Brendan (DJ) that there isn't a party on the boat this weekend
0,"@KiwiLucy ahhh ;) I know who wins the entire thing, I TRY to avoid these things but it never works"
2,WHAHHH!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! NOO!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2,tweeterizing from a mobile
2,@Whitney0925 You be a good girl Whitney
0,@melissaar I know you didn't agree with. It just angered me. Sorry for going postal.
0,this phyllis hyman unsung story is so SAD
1,Working out and watching snl
2,"@aly_o uh, could you come visit austin before you make your gigantic moving decision? it's closer to st louis than portland."
0,@YAphilJ phil! I miss you gracin ya with your presence I haven't been on much  what's new?
0,good news: my flat is great at regulating temps. in the heat. bad news: its sodding lovely outside and i'm working!
1,@easytouch lets go home
0,@kaleidoscopeFTW But he got to do it with Effy!
2,@RaNTeLLDaT I KNO I SHOULDA CAME
1,"@cassapel Damn, I got all excited for nothing  hahaha"
1,@Quizman15 thanks joeman!
0,Ughhhh...mad as ppl make me some times...I don't like 2 have 2 do yucky thngs  I am NOT cut out 2 deal w HR stuf...ppl's tears kill me!
2,"@textdrivebys i dont even have a WII! b likes xbox, so that's what we have  do you use it?"
0,My husband just went fishing   How come knitting keeps you at home?  I need a lady hobby that lets me get out of cooking.
0,I think my book is gone forever... we mourn forever  SHIT!
0,"Overslept. While the extra sleep was nice, it does play havoc with the days to-do list."
1,@cassendraaa YES QUITE HOT WHAT. and ya la gays are the in thing.
2,@Jordanknight Hi Jordan i'm gonna all of u...I know ur busy and i know ur probably tired. but please reschedule NC. don't leave us out.
1,@LaneySmiles you know you lvoe me!
0,"Installed office for Mac &amp; messed up all my fonts on safari, crap on a stick! help! can't even read the solutions online  #badmicrosoft"
2,@officialTila YES!!!
2,@willxxmobb work at 6am. Gotta go to bed soon
0,@ludwikc broken  I can't c it
0,@Jayisfly Jess is invited just not me  I feel really unloved by u AND Aj right now hahaha!
0,Ummm I'm really f*cking annoyed that my computer won't let me get on facebook. every other site known to man--yes-- facebook-- no
0,gosh im bored. its early..n i wanna go..to sleeeepp why am i at work?  *kay&lt;3*
0,last day at the Ko Olina.  off to north shoreee(:
0,Wait... @DamonAndrew and @Uchenna3... Electrik Red or Richgirl?  I'm a sucker for the later
0,"juss boredd, !"
2,@blackittyblack haha... sorry  she should be in the whole like two people @bohemianchurch follows
2,happy mothers day
1,@eeUS I sure hope so!
1,@maroon5princess I used to love you lol...so awesome...I knew you'd have an &quot;experience&quot; last night
0,"@tommcfly My eyes are starting to hurt. So late. But must reach 200 updates due to tweets sent to youuuu! Philippines tour, pleeease?"
1,"@jenstier Ooooh, that's very pretty Jen! I'm sure she'll love it!"
1,@pameladetlor aw honey... you just relaxin? That's probably for the best.
0,"addin to that last comment, was spose to be going to see the jonas brothers 3D movie, but guess what i couldnt go aswell cos im sick"
1,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can't wait to have a dragon pet
0,"Kaze the Knight. Third level, a lamp, a wish. Got fixed SDSM (first thought was about rubber chicken but hey)  #nethack"
2,@PaulDuxbury Morning Paul  How are you?
1,"Ok, I'm awake. I'm awake. I think."
0,just got home from a partyyyy. had a good time. can't wait for my birthday in 7 days!
2,"the time you go to bed,  i have to get up to go to work"
1,I'm at work
0,Ordered a new computer! Unfortunately it won't get here until the end of June.
1,http://twitpic.com/6814w - So glad Sam is in a good mood
0,Dude my butt itches  but i cant scratch it cause ppl r here
0,Holy crap! It's raining in LA and I don't have a jacket!  oh no.
1,"getting off for the night, in such a great mood!"
0,My back is killing me...  It won't keep me from dropping it low...hope I got someone to pick it back up tho... LOL
1,@purelynarcotic Ohh.. #twpp is falling silent..  I was waiting to track ur US version.. Next time maybe.. Btw sunny california sounds good
1,http://snipurl.com/hq0n1 Just printed my mom an Amazon gift card  for Happy Mothers Day talk about last minute.
2,On my way to the airport! Headed to NYC
2,and its over now  watch on now? hmmm
2,Morning. I closed out EUR/JPY 132.25  @ 132.00 and place a stop @ 130.55 @ 131.55. That 132.25 was executed while i was asleep
1,@ThatSillyLily haha i only love you too sissy!!!!!  ring power! lol
1,not at work today .i have my car back she is perfect  going random shopping later .
0,@Dayna_aka_Rowan he could be talking to me  (he's probably not though ;) )
2,@HlywdScrnwriter I've thought about it several times . got a few good friends there!
1,@junelover just email em to the email i gave u thanx awesome person
0,"ugh gone through 2 new phones and now my screen is black, which means no texting"
0,@onchmovement oh no your sick! I'm feeling kinda sick too  and I'm hating this overcast weather!
2,Coco still out
2,@CookingGranny morning
2,@JanisSharp thanks Janis
0,"MIT bookstore has best book selection, but it's the one bookstore I have no coupons or discounts for"
2,@DiiLee break a leg  but don't do it for real it just a saying :p &quot; good luck&quot;
1,"We should have a twitter reunion it would be awesome to meet you all lol, iwonder howd iget that to pull off"
2,@nomand Use Wordpress instead!
2,*yawn* i think imma go to bed. night guys
1,@TheLonely perfect song!
0,To bed I go   Nighty Night
2,&quot;Mamma Who Bore Me&quot; hat es mir echt angetan.  90210 lï¿½sst grï¿½ï¿½en. ^^
0,@mtmont gah!!! twitpic is uploading sideways today
2,is up too early
0,Why are some guys so stupid? They have no idea what to do with a good girl who actually cares about them..so sad
0,@JonathanRKnight welcome back! I'm stuck in jury duty today.
1,Moms everywhere stop what you are doing and get a good night sleep for tomorrow its your childrens turn to pamper you.  enjoy your day
0,@memow what did you think of the finale?  I thought it was kind of a cheap way out
0,The 3d version of Up sold out   regular version it is!
0,"Just came back (well yesterday) from the Hannah M. movie, I LOVED IT! I went to the highest part of the cinema to dance! BEAUTIFUL SONGS"
2,need to leave now.. tweet laters
0,"It's a sad day, found the first scratch on my car."
0,And I wanted us to leave at 12:45 to do a 1 p.m. showing (staff retreat mini)
0,@michau Sounds like a good five days
1,@unodeellos where have you been? LOL
1,yay i see @PrincessSuperC awwwww damn it's about to be on
0,HMV Shinjuku
1,"@Therealseeon Birthday Sex is a great song, man.  Something different about it!  That's what ppl want!"
2,@accidbrrittanny lol hey
2,@DantiChos baby help me with math
2,@xkilljoyx dude. letters are the new currency. i think we're rich!
1,@starangel82 @darkheath @140lover Everyone's going to think I'm a gold digger  Hahahaha
0,"@JamieLynnMB i had my son when i was 16.he's now 10..and twins at 19,age doesnt matter! there are worse parents out there that are older!"
2,"Free for all... good nite I mean its a good nite, wateva"
0,"Still feeling tired, tink will go take a nap again n wake up durin dinner time."
0,"its friday!  well, technically anyway...but its really thursday for me.  dang having to work saturday mornings"
0,"@JKeith1982 hmmmm, that's not nice... think you should take it back. I can't help it I'm hungry. No food in this office."
0,"@scottisafool  I had a analog tuner the MC team gave me few years ago. No inbox drivers, but WU handled it. WU drivers were pulled in Jan"
2,Bummer. MacBook is bugging out  Any Mac heads want to lend a helping hand.
1,@Marge_Inovera Hi Jakki! Thanks for the hug - right back at ya
2,my sunburn is starting to peel
1,@mizzyalana Very nice!  Bea and I are so bummed we can't make it   We should try and get together in the near future.
1,@MrsSeear me too! Yay he got in. And the other kid who cries a lot
1,"@Ali_Sweeney - Happy Mother's Day, Ali  I hope you have a great day today! Hugs and kisses from The Netherlands xoxox"
1,"@MelanieFresh27 Yep, tomorrow night, 10:30! Just saw the ad *squeals* LOVED this season"
0,"Morning ;Sports day today, and I have to do the three-legged race with @Weefeetfrankie  ; Mr Pettigrew said I'm not aloud to trip her up"
1,"@Beverleyknight so is it a day of 'pleasure' for you or is it a Personal Appearance?? all in all, sounds a good day with good weather!!"
2,@LetterstoCHRIS Tell everybody I say hello.
1,at a auto shop getting m suv fix ugh more $   http://twitpic.com/66of2
1,"@stevetilley it was a lonely battle, my friend, but you fought valiantly!"
0,following @twittbitch 'cause @gerhemi ordered it
0,"just finished some Sunday cleaning, waiting to read the next chapter of Kiyosaki's book so i can hit a cleaner"
2,@drami no its the same
2,wants to sign up for the Germany field trip pero no tengo dinero.
2,Just sittin here listenin to music.  Follow Me?
2,"@vickitequila oh I meant how to put stuff into formatting and in what order. It was early in the morning, okay!"
0,@inkswamp No FTP/Browser on the Mac  I may visit an old Mac Lab or Sneakernet with ZIP100s to Kinkos. Anyone with Fetch on a Floppy? DM me
0,Okay so I'm dedicating my 300th tweet to the fact that I'm going to the Apple store because there is a HUGE crack on the glass screen!
0,@kazzababe95 cut yourself a slice of cheese cake.. it makes everything better
2,@iamdiddy yeah except the spurs aren't in the champs like they usually are.
0,@AdamSchwabe Oh no....Sorry to hear that ....
0,"@dawndela yeh still have the weekend, but I get weekends anyways, today is my full last day of vacation time"
0,@ladymaryann No news yet
0,@libbyoliver caught tweets on it and got home in time for the last 5 mins of the ITV2 show!! #bgt Out tonight too so will miss it again
1,@JessMcFlyxxx that would be an idea  haha xx
1,@BBKwieen all of em! Hahahahaha sry
1,there is absolutely nothing to eat in my house... epic fail
0,Not in front of the tv  wats the score an inning??
0,and i wish i gave you one last kiss
0,Been 2 years and m still devistated that they knocked down my old primary school
2,@galaxydazzle OHHHH THAT REMINDS ME. I know it's not one of yours.... can you send me some of my toothpaste?
2,cleaning my room
0,@tina_beanz damn sorry to hear that tina...
1,@grcrssl Helloooo (: Star Wars day is cool  LOOL. Wen do you go to Cnaterbury then ? x
0,Missing nathan and the bccg already. And my best friends that tried to visit me   Heading back tomorrow afternoon.
2,"@caitlinhllywd love you tooooo  Duuude,i need to make myself a shirt that says something cool! what should it say?"
2,@sophie2dopex a great song by East Clubbers
0,@jonconnelly will add that. It should be hard really to keep track of 500 avatars.
2,@gracetanglefoot what? You won't be two blocks away any more?
0,"@anthonyqkiernan Ha! PC and router have been off and on again many times, I assure you.  Funny thing is the laptop and phone connect fine!"
2,@leecattley No idea
2,I am new here
2,"5K done in under 60mins!NoBigDeal? Psst,I weigh 280lbs!Yippee!  Thanks @JonathanRoche #NEWO (No Excuses WorkOuts) &amp; @theFlylady #Flylady !"
1,Feeling much better  Doing History Research.
2,"@astrokitty75 Thanks! I downloaded the trial version of Stuffit, and it worked. Good advice."
0,Just came home from my sister where I spent the night
1,definitely ready for a plate of pancakes.
2,"@tsarnick Yeah, that was my thumb last night. Sorry"
0,"@RichardMadeley Oh, final msg - Why didn't you review my boardgame Bookchaseï¿½ when you were on telly? We didn't even get a nice letter.."
2,@AndyP007 Any tips for someone who has only made it 52 on Flight Control?
0,"i think my cold is getting worse, not better!!  i cant stop coughing - it really sucks!!"
2,Just finished watching He's Just Not That Into You.  Loved it.
1,@HelenCrozier Yes- It was fun to connect with her! Pls tell her hello- can't find her on Twitter.
1,"Doing homework and then going to bed, have to leave at 6:50 tomorrow morning for work  and then i wont be off till 6"
0,its the little things that I'll always cherish about you....
0,"Just spoke to Keith Urban's record company, we can't get him on the show till we're back from holidays  sorry Jack, we're trying mate!"
1,"@nyisles if you like those cookies, you are going to LOVE my cookies   Lars Tetens cookies that is. You coming to see us on 5/16?"
0,@InEveryWordISay no cuz i feel the same way....
1,@james_stjohn That's what we hope for!
0,I'm sick and sad .... missing out on Martini Lounge tonight
1,@GinJam it was an adventure to say the least. I've been to nicer parts of Norf London but will stick with the south for today
0,@dopeboySHAKE omg man  i'll pray for ya
0,"We need to ban together and recognize that we aren't always going to agree, but that's ok  #tcot"
0,Just found out my parents are putting down my dog tomorrow morning. Upset
0,(@zachflauaus) Note to self: never ever leave the MacBook Pro on the stupid iCurve. It fell off.
2,is it weird that i really want a harry potter bed spread and pillows???? i wish i could find one that wasn't gryffindor
1,@ScottRhodie I wanna be drinking at the pub
1,we're getting another puppy  ... not cool... really
2,"@coreyhaines well if you're ever headed back to the west coast, hit me up. I have a tiny place, but we can hack and hang out at the beach"
2,Watching Season 7 of GG!
1,That was a fun show. Grabbing a bite to eat now.
1,"@CheeseIsYellow That's alright, I forgive you. As long as you don't ship harry/ron or harry/snape then we're cool. Mu otp is Sirius/remus"
0,Illy's note in the book: &quot;From one 'geek' to another - keep up the good work!&quot; sigh.  He is missed - and he was great for espresso.
1,"P9 for Danica and your team... Not the end of the world, now is just hopes for a great race"
2,"Oh, these are all from www.overheardinlondon.co.uk The others were from the New York version."
0,@shereemcfly09 ooh thats an early start  ive got bed planned for that time..ha..LoveYouJonesy XxX
2,Chicago rocks my socks
1,Miley Cyrus = great actress
1,OMJ! The 3rd episode of Jonas is too great! They are so funny. I wish I was the Pizza Girll. Lol &lt;3
0,NEED A JOB ASAP...JUST GOT LAID OFF AND IT SUCKS
1,spring pictures today  going to schoooool
0,Using a temporary mouse since my trackball is breaking down. I can feel the RSI crawling up my wrist already  .
0,Mad because quiz 5 answer on the BET Ford Fusion sweepstakes are all wrong
2,Instant Internet Marketing EMPIRE! + *BONUS* recoup your investment in 24 hours or less  http://megaredpacket.com/?aff_id=7891
2,I wish GM stock would turn around at 80 cents a share I would be willing to buy some...if I knew it would do something
0,feelin lonely now after spendin the last 50 hours with my friends
1,Welcome @doeko ! Really glad to know you here. Your products rox man
1,For all you Lord of the Rings fans. You MUST see this 40min fan film that just released. It's awesome!  http://is.gd/wvrx Watch in HD
1,call me einstein. got math test results: A-  hell yesss
0,@lizacosta Agreed...this time of the year we should change the motto to &quot;The Soggy State&quot;...my backyard looks like a swimming pool
1,Drinking tea and eating choc chip cookies. Going to head to sleep soon! Night all
0,sees the finish line disappearing in a plethora of emails!!!    WAH!
2,true lol no problem about the unfollowing..not mad
2,@RedxRojo naw idk what ur talkin about
1,@andyclemmensen haha well then maybe u shouldn't be so weak  hehe jks  xx
0,Well its a good thing ''march'' wasnt very long and i didnt like it...cuz its deleted. Ugh
0,I totally want some white chocolate macadamia cookies from Mrs. Fields but the mall is soooo far away. Bleh  i think I'll make my own
0,Mama? you're the best thing that ever happen to me. thanks for everything  &amp; and sorry for hurting you... I LOVE YOU!  &lt;3
1,Tonight was fun. Love my girl Tanna!
1,Oh Mother - Christina Aguilera. Happy Mothers' Day to all the mamas!  ilovemymommy! &lt;3
1,"at home. didn't see the Bloody movie, full booked  but Night at the museum was fun though."
1,has two tickets to Amadou and Miriam for Tue. June 2 that I can't use  $25 each to anyone who wants 'em. That's face value. Should be good
2,"@stuartdavis C'mon, we're talking about philos-ophy - the love of wisdom.   I need a &quot;mat&quot; - a context to intersubjectively &quot;ground&quot; it."
1,About to venture forth to Turkey Creek &amp; fetch the boy after his post prom festivities. Hope he had fun
0,"@JoeRuiz Ahhh, I slept through the game.  I'm gonna try my best to watch tomorrow though. I hope we play Army."
1,@mikefoong lol i like challenges  the more impossible the more i want to try!
0,@fiercemichi i havent got poked much
0,iamkiara__  im so sick  I fell over last night outside coz I was putting something in the bin
2,"@sylserra please let me know when you've found it  I'd like to know as well, although it's handy on your mobile..."
0,"@mrugeshkarnik oh, /me still hasn't got around to starting it"
2,@123PriceCheck yeah that's fine man! no worries
1,@Ryan_Robert ha that was ages ago!  youre in LA right? the weather is much better there...
2,"Dreaming of bacon waffles, with fresh butter and maple syrup and brewed coffee..."
2,i wanna go home
0,aww my friend just called and said that she got a better job so she won't be working with me anymore
2,Buried under more web changes. Going to make lunch now... I won't have a chance later. Too much to do.
2,is maxin and relaxin... ahhh
1,"Just got done with my first day of work and is exsausted, sweaty, and chalky."
1,"@muffinwomanxo EH! u dont like retro? tisk tisk, what u been upto? ...apart from waxing ur &quot;mustache&quot; lol"
1,@JonathanRKnight you &amp; chicken soup &amp; I'll be good!
0,@keylahtia yes I'm starting to feel the effects of humidity
0,@MissMadalena err i think they're like 15 bucks a ticket cause its 3D too. too expensive
0,"made dentist appointment. 9th of June. feel sick and nervous already  However. Ibprofen, Paracetemol and Codeine are my friends. *sigh*"
1,well Sunday the weather looks great gone take my bike to visite my mom on her day
2,@Roy_Thomas ahhhh probably will...not good  u been Dubai before??
